TransactionID,Items
1,"Milk, Bread, Apple"
2,"Milk, Bread, Butter"
3,"Milk, Bread, Egg"
4,"Milk, Bread, Butter, Apple"
5,"Milk, Bread, Butter, Egg"
6,"Bread, Butter"
7,"Bread, Apple, Banana"
8,"Milk, Apple, Banana"
9,"Milk, Bread, Banana"
10,"Bread, Butter, Banana"
11,"Milk, Bread, Butter, Apple, Egg"
12,"Bread, Egg, Banana"
13,"Milk, Butter, Egg"
14,"Milk, Bread, Butter, Banana"
15,"Milk, Bread, Apple, Egg"
16,"Bread, Butter, Apple, Banana"
17,"Milk, Bread, Egg, Banana"
18,"Bread, Butter, Egg"
19,"Milk, Bread, Butter, Apple, Banana"
20,"Milk, Bread, Butter, Egg, Banana"
21,"Milk, Egg, Banana"
22,"Milk, Butter, Banana"
23,"Milk, Bread, Apple"
24,"Milk, Bread, Butter, Banana"
25,"Milk, Bread, Egg"
26,"Bread, Butter, Apple"
27,"Milk, Bread, Butter, Egg"
28,"Milk, Bread, Butter, Apple, Banana"
29,"Milk, Bread, Banana"
30,"Milk, Bread, Butter, Apple, Egg"
31,"Milk, Bread, Butter, Egg, Banana"
32,"Bread, Butter, Banana"
33,"Milk, Bread, Butter, Banana"
34,"Milk, Apple, Egg"
35,"Bread, Butter, Apple"
36,"Milk, Bread, Butter, Egg"
37,"Milk, Bread, Apple, Banana"
38,"Bread, Butter, Egg, Banana"
39,"Milk, Bread, Butter, Egg, Banana"
40,"Milk, Bread, Butter, Apple, Banana"
41,"Bread, Apple, Egg, Banana"
42,"Milk, Butter, Apple, Banana"
43,"Milk, Bread, Butter, Egg, Banana"
44,"Bread, Butter, Egg"
45,"Milk, Bread, Apple, Egg"
46,"Milk, Butter, Apple, Banana"
47,"Milk, Bread, Butter, Banana"
48,"Bread, Butter, Apple"
49,"Milk, Bread, Butter, Apple"
50,"Milk, Bread, Egg, Banana"